Source,Target
hsa-mir-16-5p,TPM3
hsa-mir-16-5p,CENPA
hsa-mir-16-5p,PROS1
hsa-mir-27a-3p,TPM3
hsa-mir-27a-3p,ACE2
hsa-mir-27a-3p,SFRP1
hsa-mir-27a-3p,CENPA
hsa-mir-27a-3p,SERPINA3
hsa-mir-27a-3p,LMOD2
hsa-mir-27a-3p,THBS4
hsa-mir-27a-3p,CLIC6
hsa-mir-27a-3p,RASL11B
hsa-mir-10b-5p,TPM3
hsa-mir-10b-5p,ACE2
hsa-mir-10b-5p,SFRP1
hsa-mir-10b-5p,CENPA
hsa-mir-10b-5p,PROS1
hsa-mir-1-3p,TPM3
hsa-mir-1-3p,SFRP1
hsa-mir-1-3p,CENPA
hsa-mir-1-3p,CA3
hsa-mir-1-3p,PIK3IP1
hsa-mir-1-3p,PROS1
hsa-mir-23b-3p,TPM3
hsa-mir-23b-3p,CENPA
hsa-mir-23b-3p,SERPINA3
hsa-mir-23b-3p,CA3
hsa-mir-23b-3p,FRZB
hsa-mir-133a-3p,TPM3
hsa-mir-133a-3p,ACE2
hsa-mir-133a-3p,PIK3IP1
hsa-mir-146a-5p,SFRP1
hsa-mir-146a-5p,THBS4
hsa-mir-146a-5p,SMOC2
hsa-mir-146a-5p,RASD1
hsa-mir-335-5p,SFRP1
hsa-mir-335-5p,SERPINA3
hsa-mir-335-5p,CA3
hsa-mir-335-5p,SMOC2
hsa-mir-335-5p,RASD1
hsa-mir-335-5p,PROS1
hsa-mir-27a-5p,SFRP1
hsa-mir-27a-5p,PIK3IP1
hsa-mir-27a-5p,PROS1
hsa-let-7a-5p,CENPA
hsa-let-7a-5p,SERPINA3
hsa-let-7a-5p,PIK3IP1
hsa-let-7b-5p,CENPA
hsa-let-7b-5p,SERPINA3
hsa-let-7b-5p,PIK3IP1
hsa-let-7b-5p,PROS1
hsa-let-7f-5p,CENPA
hsa-let-7f-5p,SERPINA3
hsa-let-7f-5p,PIK3IP1
hsa-let-7g-5p,CENPA
hsa-let-7g-5p,SERPINA3
hsa-let-7g-5p,PIK3IP1
hsa-let-7i-5p,CENPA
hsa-let-7i-5p,SERPINA3
hsa-let-7i-5p,PIK3IP1
hsa-mir-129-2-3p,CENPA
hsa-mir-129-2-3p,PIK3IP1
hsa-mir-129-2-3p,PROS1
hsa-mir-124-3p,SFRP1
hsa-mir-124-3p,CENPA
hsa-mir-124-3p,SERPINA3
hsa-mir-124-3p,PROS1
hsa-mir-522-5p,TPM3
hsa-mir-522-5p,SFRP1
hsa-mir-522-5p,CENPA
hsa-mir-1343-3p,SFRP1
hsa-mir-1343-3p,S100A9
hsa-mir-1343-3p,SERPINA3
hsa-mir-1343-3p,RASD1
hsa-mir-1343-3p,PROS1
hsa-mir-106a-5p,TPM3
hsa-mir-106a-5p,RASD1
hsa-mir-106a-5p,RASL11B
hsa-mir-20a-5p,S100A9
hsa-mir-20a-5p,SERPINA3
hsa-mir-20a-5p,RASD1
hsa-mir-20a-5p,RASL11B
hsa-mir-30d-5p,SERPINA3
hsa-mir-30d-5p,FRZB
hsa-mir-30d-5p,RASD1
hsa-mir-101-3p,S100A9
hsa-mir-101-3p,THBS4
hsa-mir-101-3p,RASD1
hsa-mir-191-5p,CENPA
hsa-mir-191-5p,RASD1
hsa-mir-191-5p,PROS1
hsa-mir-200c-3p,RASD1
hsa-mir-200c-3p,CLIC6
hsa-mir-200c-3p,PROS1
hsa-mir-429,ACE2
hsa-mir-429,S100A9
hsa-mir-429,SMOC2
hsa-mir-429,RASD1
hsa-mir-671-5p,S100A9
hsa-mir-671-5p,SERPINA3
hsa-mir-671-5p,RASD1
hsa-mir-7-5p,TPM3
hsa-mir-7-5p,CENPA
hsa-mir-7-5p,RASD1
hsa-mir-128-3p,TPM3
hsa-mir-128-3p,CENPA
hsa-mir-128-3p,PROS1
hsa-mir-330-3p,TPM3
hsa-mir-330-3p,S100A9
hsa-mir-330-3p,RASL11B
hsa-mir-182-5p,TPM3
hsa-mir-182-5p,SERPINA3
hsa-mir-182-5p,PROS1
